"Scenario","Sector","Region","Technology","Year","LCOE"
"Oxford - slow_transition","Fossil Fuels","World","Oil",2018,40.53833845
"Oxford - slow_transition","Fossil Fuels","World","Oil",2019,39.24743823
"Oxford - slow_transition","Fossil Fuels","World","Oil",2020,38.1880787
"Oxford - slow_transition","Fossil Fuels","World","Oil",2021,37.31470715
"Oxford - slow_transition","Fossil Fuels","World","Oil",2022,36.59185453
"Oxford - slow_transition","Fossil Fuels","World","Oil",2023,35.99160266
"Oxford - slow_transition","Fossil Fuels","World","Oil",2024,35.49176512
"Oxford - slow_transition","Fossil Fuels","World","Oil",2025,35.07456102
"Oxford - slow_transition","Fossil Fuels","World","Oil",2026,34.72563424
"Oxford - slow_transition","Fossil Fuels","World","Oil",2027,34.43331845
"Oxford - slow_transition","Fossil Fuels","World","Oil",2028,34.18807957
"Oxford - slow_transition","Fossil Fuels","World","Oil",2029,33.98208782
"Oxford - slow_transition","Fossil Fuels","World","Oil",2030,33.80888583
"Oxford - slow_transition","Fossil Fuels","World","Oil",2031,33.66312859
"Oxford - slow_transition","Fossil Fuels","World","Oil",2032,33.54037795
"Oxford - slow_transition","Fossil Fuels","World","Oil",2033,33.43693882
"Oxford - slow_transition","Fossil Fuels","World","Oil",2034,33.34972764
"Oxford - slow_transition","Fossil Fuels","World","Oil",2035,33.27616613
"Oxford - slow_transition","Fossil Fuels","World","Oil",2036,33.21409482
"Oxford - slow_transition","Fossil Fuels","World","Oil",2037,33.16170248
"Oxford - slow_transition","Fossil Fuels","World","Oil",2038,33.11746806
"Oxford - slow_transition","Fossil Fuels","World","Oil",2039,33.08011291
"Oxford - slow_transition","Fossil Fuels","World","Oil",2040,33.04856116
"Oxford - slow_transition","Fossil Fuels","World","Oil",2041,33.02190693
"Oxford - slow_transition","Fossil Fuels","World","Oil",2042,32.99938695
"Oxford - slow_transition","Fossil Fuels","World","Oil",2043,32.98035778
"Oxford - slow_transition","Fossil Fuels","World","Oil",2044,32.96427675
"Oxford - slow_transition","Fossil Fuels","World","Oil",2045,32.950686
"Oxford - slow_transition","Fossil Fuels","World","Oil",2046,32.93919908
"Oxford - slow_transition","Fossil Fuels","World","Oil",2047,32.92948976
"Oxford - slow_transition","Fossil Fuels","World","Oil",2048,32.92128255
"Oxford - slow_transition","Fossil Fuels","World","Oil",2049,32.91434476
"Oxford - slow_transition","Fossil Fuels","World","Oil",2050,32.90847984
"Oxford - slow_transition","Fossil Fuels","World","Oil",2051,32.90352174
"Oxford - slow_transition","Fossil Fuels","World","Oil",2052,32.89933013
"Oxford - slow_transition","Fossil Fuels","World","Oil",2053,32.89578645
"Oxford - slow_transition","Fossil Fuels","World","Oil",2054,32.89279049
"Oxford - slow_transition","Fossil Fuels","World","Oil",2055,32.89025755
"Oxford - slow_transition","Fossil Fuels","World","Oil",2056,32.88811604
"Oxford - slow_transition","Fossil Fuels","World","Oil",2057,32.88630546
"Oxford - slow_transition","Fossil Fuels","World","Oil",2058,32.88477464
"Oxford - slow_transition","Fossil Fuels","World","Oil",2059,32.88348036
"Oxford - slow_transition","Fossil Fuels","World","Oil",2060,32.88238606
"Oxford - slow_transition","Fossil Fuels","World","Oil",2061,32.88146083
"Oxford - slow_transition","Fossil Fuels","World","Oil",2062,32.88067855
"Oxford - slow_transition","Fossil Fuels","World","Oil",2063,32.88001713
"Oxford - slow_transition","Fossil Fuels","World","Oil",2064,32.87945789
"Oxford - slow_transition","Fossil Fuels","World","Oil",2065,32.87898505
"Oxford - slow_transition","Fossil Fuels","World","Oil",2066,32.87858526
"Oxford - slow_transition","Fossil Fuels","World","Oil",2067,32.87824723
"Oxford - slow_transition","Fossil Fuels","World","Oil",2068,32.87796142
"Oxford - slow_transition","Fossil Fuels","World","Oil",2069,32.87771977
"Oxford - slow_transition","Fossil Fuels","World","Gas",2018,10.95843872
"Oxford - slow_transition","Fossil Fuels","World","Gas",2019,11.09080203
"Oxford - slow_transition","Fossil Fuels","World","Gas",2020,11.20112379
"Oxford - slow_transition","Fossil Fuels","World","Gas",2021,11.29289783
"Oxford - slow_transition","Fossil Fuels","World","Gas",2022,11.36912154
"Oxford - slow_transition","Fossil Fuels","World","Gas",2023,11.43234712
"Oxford - slow_transition","Fossil Fuels","World","Gas",2024,11.48473462
"Oxford - slow_transition","Fossil Fuels","World","Gas",2025,11.52810335
"Oxford - slow_transition","Fossil Fuels","World","Gas",2026,11.56397967
"Oxford - slow_transition","Fossil Fuels","World","Gas",2027,11.59364005
"Oxford - slow_transition","Fossil Fuels","World","Gas",2028,11.61814927
"Oxford - slow_transition","Fossil Fuels","World","Gas",2029,11.63839363
"Oxford - slow_transition","Fossil Fuels","World","Gas",2030,11.6551096
"Oxford - slow_transition","Fossil Fuels","World","Gas",2031,11.66890831
"Oxford - slow_transition","Fossil Fuels","World","Gas",2032,11.68029624
"Oxford - slow_transition","Fossil Fuels","World","Gas",2033,11.68969282
"Oxford - slow_transition","Fossil Fuels","World","Gas",2034,11.69744503
"Oxford - slow_transition","Fossil Fuels","World","Gas",2035,11.70383983
"Oxford - slow_transition","Fossil Fuels","World","Gas",2036,11.70911433
"Oxford - slow_transition","Fossil Fuels","World","Gas",2037,11.71346441
"Oxford - slow_transition","Fossil Fuels","World","Gas",2038,11.71705183
